base_dir	version_subdir	module	version	mod_time	mod_days	mod_3y	mod_5y	mod_10y
/sw/apps	wrf-python/1.3.1	wrf-python	1.3.1	2020-11-26_13:46:12	1279	0	1	1
/sw/apps	WRF/4.1.3	WRF	4.1.3	2020-11-02_15:47:19	1303	0	1	1
/sw/apps	WRF/4.1.3-dm+sm	WRF	4.1.3-dm+sm	2020-10-20_15:36:23	1316	0	1	1
/sw/apps	WRF/4.3.0-dm-gcc	WRF	4.3.0-dm-gcc	2023-03-30_17:10:11	425	1	1	1
/sw/apps	WRFg/3.8.1	WRFg	3.8.1	2020-11-20_11:06:12	1285	0	1	1
/sw/apps	www-tools/1.0	www-tools	1.0	2012-07-30_11:35:24	4320	0	0	0
/sw/apps	www-tools/1.1	www-tools	1.1	2013-11-23_12:11:17	3839	0	0	0
/sw/apps	www-tools/1.2	www-tools	1.2	2017-11-02_15:14:52	2399	0	0	1
/sw/apps	www-tools/devel	www-tools	devel	2013-11-29_13:40:32	3833	0	0	0
/sw/apps	xz/5.2.2	xz	5.2.2	2022-03-22_17:40:10	798	1	1	1
/sw/apps	xz/5.2.6	xz	5.2.6	2022-09-20_12:03:07	616	1	1	1
/sw/apps	xz/5.4.5	xz	5.4.5	2023-11-29_13:48:13	181	1	1	1
/sw/apps	zsh/5.7.1	zsh	5.7.1	2019-08-02_14:52:43	1761	0	1	1
